Center+Model,Exp,WAIS,EAIS,Peninsula
AWI_PISM1,exp01,-9.059983e+11,9.490341e+12,1.286511e+12
AWI_PISM1,exp02,-2.967539e+12,1.065288e+13,-2.253325e+12
AWI_PISM1,exp03,2.171177e+11,4.208682e+12,1.103352e+12
AWI_PISM1,exp04,2.426888e+12,1.833483e+13,1.554493e+12
AWI_PISM1,exp05,-2.084932e+12,7.047869e+12,-2.22927e+11
AWI_PISM1,exp06,-4.466539e+12,9.748552e+12,-3.452436e+12
AWI_PISM1,exp07,-8.001758e+11,2.144681e+12,-2.787132e+11
AWI_PISM1,exp08,1.473993e+12,1.756559e+13,1.903616e+11
AWI_PISM1,exp09,-2.586726e+12,7.882227e+12,1.785527e+11
AWI_PISM1,exp10,-1.739236e+12,7.056795e+12,-4.332849e+11
AWI_PISM1,exp11,-1.411519e+12,1.640273e+13,-9.656472e+12
AWI_PISM1,exp12,-1.951499e+12,1.509306e+13,-1.002764e+13
AWI_PISM1,exp13,-6.108931e+12,4.521203e+12,1.134628e+12
AWI_PISM1,expA1,-1.230516e+13,-9.048614e+12,-2.459063e+12
AWI_PISM1,expA2,9.386592e+12,1.209178e+13,1.87609e+12
AWI_PISM1,expA3,2.626438e+12,1.32971e+13,3.046714e+12
AWI_PISM1,expA4,-1.292366e+11,2.124937e+12,1.490357e+12
AWI_PISM1,expA5,-1.470796e+13,-1.077131e+13,-4.355793e+12
AWI_PISM1,expA6,7.981239e+12,8.654354e+12,4.286732e+11
AWI_PISM1,expA7,1.258772e+12,1.172345e+13,1.809823e+12
AWI_PISM1,expA8,-1.288746e+12,1.272856e+12,9.590469e+10
DOE_MALI,exp05,-1.78213e+13,2.68773e+12,6.808694e+11
DOE_MALI,exp06,-2.18657e+13,1.320572e+13,-1.719222e+12
DOE_MALI,exp07,-6.243498e+12,-1.905868e+12,-3.057464e+10
DOE_MALI,exp08,-1.617905e+13,1.650345e+13,1.227238e+12
DOE_MALI,exp09,-2.12443e+13,9.228769e+11,6.556657e+11
DOE_MALI,exp10,-1.379754e+13,3.635405e+12,7.306966e+11
DOE_MALI,exp12,-1.914496e+13,1.471669e+13,-2.895228e+12
DOE_MALI,exp13,-5.480391e+13,-1.193533e+13,4.264601e+11
ILTS_PIK_SICOPOLIS,exp05,-1.029118e+13,-5.082189e+12,4.140367e+11
ILTS_PIK_SICOPOLIS,exp06,-1.180495e+13,8.394632e+12,-1.728442e+12
ILTS_PIK_SICOPOLIS,exp07,-2.880675e+12,-6.684396e+12,-2.397991e+11
ILTS_PIK_SICOPOLIS,exp08,-5.214377e+12,1.529071e+13,1.117226e+12
ILTS_PIK_SICOPOLIS,exp09,-1.220185e+13,-7.808644e+12,4.300569e+11
ILTS_PIK_SICOPOLIS,exp10,-9.787835e+12,-1.408794e+12,-9.710701e+11
ILTS_PIK_SICOPOLIS,exp12,-6.683253e+12,1.120067e+13,-1.076881e+13
ILTS_PIK_SICOPOLIS,exp13,-4.846198e+13,-3.631673e+13,7.574967e+11
ILTS_PIK_SICOPOLIS,expA5,-3.922783e+13,-1.336156e+13,-2.75274e+12
ILTS_PIK_SICOPOLIS,expA6,5.407311e+12,-3.744997e+12,1.336089e+12
ILTS_PIK_SICOPOLIS,expA7,-4.823696e+11,5.243086e+12,2.047091e+12
ILTS_PIK_SICOPOLIS,expA8,-1.296478e+12,-1.543693e+12,9.864316e+09
IMAU_IMAUICE1,exp05,2.17343e+11,7.414229e+12,1.561156e+12
IMAU_IMAUICE1,exp06,3.788057e+11,8.900409e+12,-8.951984e+11
IMAU_IMAUICE1,exp07,-1.168276e+12,1.031243e+12,2.002489e+11
IMAU_IMAUICE1,exp08,3.702587e+12,2.284233e+13,1.143617e+12
IMAU_IMAUICE1,exp09,6.26686e+10,7.193897e+12,1.574577e+12
IMAU_IMAUICE1,exp10,3.722547e+11,7.653321e+12,1.512924e+12
IMAU_IMAUICE1,exp12,2.517131e+12,2.289836e+13,-7.000574e+12
IMAU_IMAUICE1,exp13,-9.495337e+11,5.415412e+12,1.652621e+12
IMAU_IMAUICE2,exp05,-4.748115e+11,7.480986e+12,4.590998e+11
IMAU_IMAUICE2,exp06,-4.624722e+12,9.11252e+12,-2.091065e+12
IMAU_IMAUICE2,exp07,-9.497187e+11,1.398201e+12,-3.903735e+11
IMAU_IMAUICE2,exp08,-1.894353e+12,2.254567e+13,1.136975e+12
IMAU_IMAUICE2,exp09,-5.033473e+10,6.773373e+12,4.63485e+11
IMAU_IMAUICE2,exp10,-1.662219e+12,7.913266e+12,4.530846e+11
IMAU_IMAUICE2,exp12,-1.922873e+12,2.290885e+13,-7.791e+12
IMAU_IMAUICE2,exp13,-3.692993e+11,4.720597e+12,4.526069e+11
IMAU_IMAUICE2,expA5,-1.744344e+13,-3.512342e+11,-3.629621e+12
IMAU_IMAUICE2,expA6,8.137515e+12,7.923652e+12,1.593366e+12
IMAU_IMAUICE2,expA7,5.543327e+11,1.294128e+13,3.477599e+12
IMAU_IMAUICE2,expA8,-3.255384e+12,3.182615e+12,2.101928e+11
JPL1_ISSM,exp05,-1.876416e+12,5.390479e+12,8.976855e+11
JPL1_ISSM,exp06,-1.603956e+12,1.564772e+13,-1.817353e+12
JPL1_ISSM,exp07,-1.29961e+12,-5.147999e+10,5.960351e+10
JPL1_ISSM,exp08,3.581587e+12,2.229896e+13,1.602427e+12
JPL1_ISSM,exp09,-2.579613e+12,4.576046e+12,8.832051e+11
JPL1_ISSM,exp10,-1.271953e+12,6.123224e+12,9.126703e+11
JPL1_ISSM,exp12,2.851354e+12,2.197305e+13,-1.572417e+11
JPL1_ISSM,exp13,-9.565293e+12,-3.789159e+12,7.741414e+11
JPL1_ISSM,expA5,-4.664192e+12,1.10891e+12,-1.677262e+12
JPL1_ISSM,expA6,9.31661e+12,8.544759e+12,1.354117e+12
JPL1_ISSM,expA7,3.415558e+12,1.182954e+13,1.861499e+12
JPL1_ISSM,expA8,-1.007514e+11,1.604502e+12,6.017993e+10
LSCE_GRISLI,exp05,-4.139708e+12,7.389986e+12,7.104959e+11
LSCE_GRISLI,exp06,-1.567792e+12,1.465062e+13,-2.542008e+12
LSCE_GRISLI,exp07,1.591124e+11,8.662662e+11,-7.849543e+10
LSCE_GRISLI,exp08,4.555477e+12,2.392537e+13,1.423414e+12
LSCE_GRISLI,exp09,-5.266605e+12,7.568796e+12,6.90684e+11
LSCE_GRISLI,exp10,-1.225236e+12,8.160389e+12,6.037363e+11
LSCE_GRISLI,exp12,4.957945e+12,2.176176e+13,2.190741e+12
LSCE_GRISLI,exp13,-2.301164e+13,3.906584e+12,5.033667e+11
LSCE_GRISLI,expA5,-1.02204e+13,1.552988e+12,-2.536203e+12
LSCE_GRISLI,expA6,9.020506e+12,9.69312e+12,6.128929e+11
LSCE_GRISLI,expA7,2.455764e+12,1.279215e+13,1.903926e+12
LSCE_GRISLI,expA8,7.498855e+11,2.875387e+12,2.852544e+11
NCAR_CISM,exp01,-2.060245e+13,-9.572554e+12,5.203208e+11
NCAR_CISM,exp02,-2.750834e+13,-7.449289e+11,-6.755459e+11
NCAR_CISM,exp03,-1.188084e+13,-8.144476e+12,-7.918203e+09
NCAR_CISM,exp04,-1.664205e+13,1.297085e+13,1.265392e+12
NCAR_CISM,exp05,-8.918139e+12,1.877636e+12,7.233641e+11
NCAR_CISM,exp06,-7.691164e+12,6.268598e+12,-8.803034e+11
NCAR_CISM,exp07,-4.107876e+12,-1.615007e+12,8.875561e+10
NCAR_CISM,exp08,-1.494857e+12,1.971222e+13,1.366599e+12
NCAR_CISM,exp09,-1.076718e+13,2.806636e+11,6.982312e+11
NCAR_CISM,exp10,-7.187867e+12,3.338627e+12,7.536147e+11
NCAR_CISM,exp13,-2.892578e+13,-1.43539e+13,4.636315e+11
NCAR_CISM,expA1,-5.419341e+13,-2.187757e+13,-6.719604e+11
NCAR_CISM,expA2,-5.598605e+12,-1.220645e+13,9.830773e+11
NCAR_CISM,expA3,2.644499e+11,-5.852094e+11,4.033464e+11
NCAR_CISM,expA4,-2.712487e+12,-3.396695e+12,-3.694252e+11
NCAR_CISM,expA5,-1.715513e+13,-5.313336e+12,-5.809095e+11
NCAR_CISM,expA6,1.49038e+12,-4.145959e+11,7.64034e+11
NCAR_CISM,expA7,1.491074e+11,4.923964e+12,5.868425e+11
NCAR_CISM,expA8,-1.410703e+12,-3.005946e+11,-1.115153e+11
PIK_PISM1,exp01,-3.97683e+12,-2.667848e+12,7.815775e+10
PIK_PISM1,exp02,-4.434932e+12,9.752161e+12,-2.335171e+12
PIK_PISM1,exp03,-2.189001e+12,-3.517111e+12,-3.308783e+11
PIK_PISM1,exp04,2.156884e+12,1.686927e+13,3.39092e+11
PIK_PISM2,exp01,-2.464566e+12,6.791788e+11,2.079645e+11
PIK_PISM2,exp02,-2.693198e+12,1.250957e+13,-2.285559e+12
PIK_PISM2,exp03,-1.289269e+12,-2.744203e+12,-1.800291e+11
PIK_PISM2,exp04,3.698341e+12,1.952235e+13,5.666737e+11
UCIJPL_ISSM,exp01,-1.175437e+13,1.817206e+12,2.532998e+12
UCIJPL_ISSM,exp02,-1.27764e+13,1.277217e+13,-4.089245e+11
UCIJPL_ISSM,exp03,-1.254216e+13,-3.712436e+12,1.626798e+12
UCIJPL_ISSM,exp04,-7.440545e+12,2.019698e+13,3.172845e+12
UCIJPL_ISSM,exp05,-5.4019e+12,6.39901e+12,1.978178e+12
UCIJPL_ISSM,exp06,-6.913402e+12,1.803247e+13,-8.639998e+11
UCIJPL_ISSM,exp07,-5.053014e+12,1.21513e+12,1.104054e+12
UCIJPL_ISSM,exp08,-1.198802e+12,2.430058e+13,2.662592e+12
UCIJPL_ISSM,exp09,-6.355113e+12,5.664584e+12,1.992748e+12
UCIJPL_ISSM,exp10,-4.570507e+12,7.050398e+12,1.956061e+12
UCIJPL_ISSM,exp11,-1.069822e+13,1.823837e+13,-1.207967e+13
UCIJPL_ISSM,exp12,-4.806383e+12,2.229738e+13,-1.350763e+13
UCIJPL_ISSM,exp13,6.429866e+12,1.094199e+13,2.294891e+12
UCIJPL_ISSM,expA5,-1.074658e+13,3.88011e+12,-6.064958e+11
UCIJPL_ISSM,expA6,5.729384e+12,1.014165e+13,2.275002e+12
UCIJPL_ISSM,expA7,3.388195e+11,1.369342e+13,2.719994e+12
UCIJPL_ISSM,expA8,-2.891867e+12,3.663129e+12,1.057588e+12
ULB_fETISh_32km,exp01,-6.115055e+13,-6.016011e+12,1.146908e+12
ULB_fETISh_32km,exp02,-4.83269e+13,1.071004e+13,-2.028213e+12
ULB_fETISh_32km,exp03,-5.490281e+13,-6.818399e+12,1.012717e+11
ULB_fETISh_32km,exp04,-4.121245e+13,1.944332e+13,1.667076e+12
ULB_fETISh_32km,exp05,-1.291788e+13,-2.358829e+12,8.264273e+11
ULB_fETISh_32km,exp06,-7.774602e+12,1.365913e+13,-1.168294e+12
ULB_fETISh_32km,exp07,-4.90313e+12,-2.789863e+11,5.12499e+10
ULB_fETISh_32km,exp08,-1.073302e+12,2.130023e+13,1.637184e+12
ULB_fETISh_32km,exp09,-1.763515e+13,-3.212076e+11,7.788425e+11
ULB_fETISh_32km,exp10,-1.128658e+13,3.947818e+12,9.84226e+11
ULB_fETISh_32km,exp11,-4.284802e+13,1.769769e+13,-3.835286e+12
ULB_fETISh_32km,exp12,-4.23504e+12,2.130452e+13,-4.4265e+12
ULB_fETISh_32km,exp13,-8.107319e+13,-3.480509e+13,-4.756652e+11
ULB_fETISh_32km,expA1,-3.581171e+13,-2.161407e+13,-2.745393e+12
ULB_fETISh_32km,expA2,1.653263e+13,-4.785204e+12,1.817119e+12
ULB_fETISh_32km,expA3,1.10597e+13,6.855591e+12,2.711355e+12
ULB_fETISh_32km,expA4,4.40698e+12,-3.979079e+12,2.476718e+11
ULB_fETISh_32km,expA5,-3.351052e+13,-8.282764e+12,-2.481099e+12
ULB_fETISh_32km,expA6,9.24859e+12,4.243968e+12,1.90758e+12
ULB_fETISh_32km,expA7,-1.143826e+12,1.151243e+13,2.887851e+12
ULB_fETISh_32km,expA8,-1.339435e+12,3.307687e+12,6.082174e+11
ULB_fETISh_16km,exp01,-4.037446e+13,-1.093675e+13,8.611317e+11
ULB_fETISh_16km,exp02,-2.806442e+13,1.403082e+13,-1.804411e+12
ULB_fETISh_16km,exp03,-1.861274e+13,-1.23618e+13,-2.144627e+11
ULB_fETISh_16km,exp04,-2.285675e+13,1.775042e+13,1.733788e+12
ULB_fETISh_16km,exp05,-1.364715e+13,2.600204e+12,7.632394e+11
ULB_fETISh_16km,exp06,-6.432996e+12,1.645646e+13,-1.493132e+12
ULB_fETISh_16km,exp07,-5.215771e+12,-3.708923e+12,-6.083506e+10
ULB_fETISh_16km,exp08,-3.680105e+12,1.91082e+13,1.631208e+12
ULB_fETISh_16km,exp09,-1.0854e+13,-1.308738e+11,5.621355e+11
ULB_fETISh_16km,exp10,-6.729068e+12,1.847867e+12,9.509545e+11
ULB_fETISh_16km,exp11,-2.010996e+13,1.482506e+13,-5.334463e+12
